Date;Year;MonthNumber;MonthName;Quarter;YearMonth;Weekday
01/01/2018 0:00;2018;1;January;Q1;2018-01;Monday
01/02/2018 0:00;2018;1;January;Q1;2018-01;Tuesday
01/03/2018 0:00;2018;1;January;Q1;2018-01;Wednesday
01/04/2018 0:00;2018;1;January;Q1;2018-01;Thursday
01/05/2018 0:00;2018;1;January;Q1;2018-01;Friday
01/06/2018 0:00;2018;1;January;Q1;2018-01;Saturday
01/07/2018 0:00;2018;1;January;Q1;2018-01;Sunday
01/08/2018 0:00;2018;1;January;Q1;2018-01;Monday
01/09/2018 0:00;2018;1;January;Q1;2018-01;Tuesday
01/10/2018 0:00;2018;1;January;Q1;2018-01;Wednesday
01/11/2018 0:00;2018;1;January;Q1;2018-01;Thursday
01/12/2018 0:00;2018;1;January;Q1;2018-01;Friday
01/13/2018 0:00;2018;1;January;Q1;2018-01;Saturday
01/14/2018 0:00;2018;1;January;Q1;2018-01;Sunday
01/15/2018 0:00;2018;1;January;Q1;2018-01;Monday
01/16/2018 0:00;2018;1;January;Q1;2018-01;Tuesday
01/17/2018 0:00;2018;1;January;Q1;2018-01;Wednesday
01/18/2018 0:00;2018;1;January;Q1;2018-01;Thursday
01/19/2018 0:00;2018;1;January;Q1;2018-01;Friday
01/20/2018 0:00;2018;1;January;Q1;2018-01;Saturday
01/21/2018 0:00;2018;1;January;Q1;2018-01;Sunday
01/22/2018 0:00;2018;1;January;Q1;2018-01;Monday
01/23/2018 0:00;2018;1;January;Q1;2018-01;Tuesday
01/24/2018 0:00;2018;1;January;Q1;2018-01;Wednesday
01/25/2018 0:00;2018;1;January;Q1;2018-01;Thursday
01/26/2018 0:00;2018;1;January;Q1;2018-01;Friday
01/27/2018 0:00;2018;1;January;Q1;2018-01;Saturday
01/28/2018 0:00;2018;1;January;Q1;2018-01;Sunday
01/29/2018 0:00;2018;1;January;Q1;2018-01;Monday
01/30/2018 0:00;2018;1;January;Q1;2018-01;Tuesday
01/31/2018 0:00;2018;1;January;Q1;2018-01;Wednesday
02/01/2018 0:00;2018;2;February;Q1;2018-02;Thursday
02/02/2018 0:00;2018;2;February;Q1;2018-02;Friday
02/03/2018 0:00;2018;2;February;Q1;2018-02;Saturday
02/04/2018 0:00;2018;2;February;Q1;2018-02;Sunday
02/05/2018 0:00;2018;2;February;Q1;2018-02;Monday
02/06/2018 0:00;2018;2;February;Q1;2018-02;Tuesday
02/07/2018 0:00;2018;2;February;Q1;2018-02;Wednesday
02/08/2018 0:00;2018;2;February;Q1;2018-02;Thursday
02/09/2018 0:00;2018;2;February;Q1;2018-02;Friday
02/10/2018 0:00;2018;2;February;Q1;2018-02;Saturday
02/11/2018 0:00;2018;2;February;Q1;2018-02;Sunday
02/12/2018 0:00;2018;2;February;Q1;2018-02;Monday
02/13/2018 0:00;2018;2;February;Q1;2018-02;Tuesday
02/14/2018 0:00;2018;2;February;Q1;2018-02;Wednesday
02/15/2018 0:00;2018;2;February;Q1;2018-02;Thursday
02/16/2018 0:00;2018;2;February;Q1;2018-02;Friday
02/17/2018 0:00;2018;2;February;Q1;2018-02;Saturday
02/18/2018 0:00;2018;2;February;Q1;2018-02;Sunday
02/19/2018 0:00;2018;2;February;Q1;2018-02;Monday
02/20/2018 0:00;2018;2;February;Q1;2018-02;Tuesday
02/21/2018 0:00;2018;2;February;Q1;2018-02;Wednesday
02/22/2018 0:00;2018;2;February;Q1;2018-02;Thursday
02/23/2018 0:00;2018;2;February;Q1;2018-02;Friday
02/24/2018 0:00;2018;2;February;Q1;2018-02;Saturday
02/25/2018 0:00;2018;2;February;Q1;2018-02;Sunday
02/26/2018 0:00;2018;2;February;Q1;2018-02;Monday
02/27/2018 0:00;2018;2;February;Q1;2018-02;Tuesday
02/28/2018 0:00;2018;2;February;Q1;2018-02;Wednesday
03/01/2018 0:00;2018;3;March;Q1;2018-03;Thursday
03/02/2018 0:00;2018;3;March;Q1;2018-03;Friday
03/03/2018 0:00;2018;3;March;Q1;2018-03;Saturday
03/04/2018 0:00;2018;3;March;Q1;2018-03;Sunday
03/05/2018 0:00;2018;3;March;Q1;2018-03;Monday
03/06/2018 0:00;2018;3;March;Q1;2018-03;Tuesday
03/07/2018 0:00;2018;3;March;Q1;2018-03;Wednesday
03/08/2018 0:00;2018;3;March;Q1;2018-03;Thursday
03/09/2018 0:00;2018;3;March;Q1;2018-03;Friday
03/10/2018 0:00;2018;3;March;Q1;2018-03;Saturday
03/11/2018 0:00;2018;3;March;Q1;2018-03;Sunday
03/12/2018 0:00;2018;3;March;Q1;2018-03;Monday
03/13/2018 0:00;2018;3;March;Q1;2018-03;Tuesday
03/14/2018 0:00;2018;3;March;Q1;2018-03;Wednesday
03/15/2018 0:00;2018;3;March;Q1;2018-03;Thursday
03/16/2018 0:00;2018;3;March;Q1;2018-03;Friday
03/17/2018 0:00;2018;3;March;Q1;2018-03;Saturday
03/18/2018 0:00;2018;3;March;Q1;2018-03;Sunday
03/19/2018 0:00;2018;3;March;Q1;2018-03;Monday
03/20/2018 0:00;2018;3;March;Q1;2018-03;Tuesday
03/21/2018 0:00;2018;3;March;Q1;2018-03;Wednesday
03/22/2018 0:00;2018;3;March;Q1;2018-03;Thursday
03/23/2018 0:00;2018;3;March;Q1;2018-03;Friday
03/24/2018 0:00;2018;3;March;Q1;2018-03;Saturday
03/25/2018 0:00;2018;3;March;Q1;2018-03;Sunday
03/26/2018 0:00;2018;3;March;Q1;2018-03;Monday
03/27/2018 0:00;2018;3;March;Q1;2018-03;Tuesday
03/28/2018 0:00;2018;3;March;Q1;2018-03;Wednesday
03/29/2018 0:00;2018;3;March;Q1;2018-03;Thursday
03/30/2018 0:00;2018;3;March;Q1;2018-03;Friday
03/31/2018 0:00;2018;3;March;Q1;2018-03;Saturday
04/01/2018 0:00;2018;4;April;Q2;2018-04;Sunday
04/02/2018 0:00;2018;4;April;Q2;2018-04;Monday
04/03/2018 0:00;2018;4;April;Q2;2018-04;Tuesday
04/04/2018 0:00;2018;4;April;Q2;2018-04;Wednesday
04/05/2018 0:00;2018;4;April;Q2;2018-04;Thursday
04/06/2018 0:00;2018;4;April;Q2;2018-04;Friday
04/07/2018 0:00;2018;4;April;Q2;2018-04;Saturday
04/08/2018 0:00;2018;4;April;Q2;2018-04;Sunday
04/09/2018 0:00;2018;4;April;Q2;2018-04;Monday
04/10/2018 0:00;2018;4;April;Q2;2018-04;Tuesday
04/11/2018 0:00;2018;4;April;Q2;2018-04;Wednesday
04/12/2018 0:00;2018;4;April;Q2;2018-04;Thursday
04/13/2018 0:00;2018;4;April;Q2;2018-04;Friday
04/14/2018 0:00;2018;4;April;Q2;2018-04;Saturday
04/15/2018 0:00;2018;4;April;Q2;2018-04;Sunday
04/16/2018 0:00;2018;4;April;Q2;2018-04;Monday
04/17/2018 0:00;2018;4;April;Q2;2018-04;Tuesday
04/18/2018 0:00;2018;4;April;Q2;2018-04;Wednesday
04/19/2018 0:00;2018;4;April;Q2;2018-04;Thursday
04/20/2018 0:00;2018;4;April;Q2;2018-04;Friday
04/21/2018 0:00;2018;4;April;Q2;2018-04;Saturday
04/22/2018 0:00;2018;4;April;Q2;2018-04;Sunday
04/23/2018 0:00;2018;4;April;Q2;2018-04;Monday
04/24/2018 0:00;2018;4;April;Q2;2018-04;Tuesday
04/25/2018 0:00;2018;4;April;Q2;2018-04;Wednesday
04/26/2018 0:00;2018;4;April;Q2;2018-04;Thursday
04/27/2018 0:00;2018;4;April;Q2;2018-04;Friday
04/28/2018 0:00;2018;4;April;Q2;2018-04;Saturday
04/29/2018 0:00;2018;4;April;Q2;2018-04;Sunday
04/30/2018 0:00;2018;4;April;Q2;2018-04;Monday
05/01/2018 0:00;2018;5;May;Q2;2018-05;Tuesday
05/02/2018 0:00;2018;5;May;Q2;2018-05;Wednesday
05/03/2018 0:00;2018;5;May;Q2;2018-05;Thursday
05/04/2018 0:00;2018;5;May;Q2;2018-05;Friday
05/05/2018 0:00;2018;5;May;Q2;2018-05;Saturday
05/06/2018 0:00;2018;5;May;Q2;2018-05;Sunday
05/07/2018 0:00;2018;5;May;Q2;2018-05;Monday
05/08/2018 0:00;2018;5;May;Q2;2018-05;Tuesday
05/09/2018 0:00;2018;5;May;Q2;2018-05;Wednesday
